Model,Training MAE,Valid MAE,Valid RMSLE,Training R^2,Valid R^2,Valid MSE,Valid RMSE
RandomForestRegressor,5555.081538229284,7130.010130860144,0.2579042729470629,0.8207015984964349,0.7691442151102865,113700642.48573755,10663.05033682846
HistGradientBoostingRegressor,2254.3807695660184,5973.091776662905,0.12529174698269147,0.9726169824140402,0.8528221226127716,84815279.94017413,9209.521156942641
StackingRegressor,2952.391601039184,6466.718453500353,0.13718961374667693,0.9533920365985926,0.8291382331073638,93229043.08842742,9655.518789191361
